"subject","trial","difference","difficulty","referenceSelection"
1,1,"moderate","easier",1
1,2,"moderate","easier",0
1,3,"moderate","easier",1
1,4,"moderate","easier",0
1,5,"moderate","easier",1
1,6,"moderate","easier",1
1,7,"moderate","easier",1
1,8,"moderate","easier",0
1,9,"moderate","easier",0
1,10,"moderate","easier",1
1,11,"moderate","easier",1
1,12,"moderate","easier",1
1,13,"moderate","easier",0
1,14,"moderate","easier",0
1,15,"moderate","easier",1
1,16,"moderate","easier",0
1,17,"moderate","easier",0
1,18,"moderate","easier",0
1,19,"moderate","easier",1
1,20,"moderate","easier",1
1,21,"moderate","easier",0
1,22,"moderate","easier",1
1,23,"moderate","easier",0
1,24,"moderate","easier",0
1,25,"moderate","easier",1
1,26,"moderate","easier",1
1,27,"moderate","easier",1
1,28,"moderate","easier",1
1,29,"moderate","easier",0
1,30,"moderate","easier",1
1,31,"moderate","easier",0
1,32,"moderate","easier",1
1,33,"moderate","easier",1
1,34,"moderate","easier",1
1,35,"moderate","easier",1
1,36,"moderate","easier",0
1,37,"moderate","easier",1
1,38,"moderate","easier",1
1,39,"moderate","easier",0
1,40,"moderate","easier",0
1,41,"moderate","easier",1
1,42,"moderate","easier",1
1,43,"moderate","easier",0
1,44,"moderate","easier",1
1,45,"moderate","easier",0
1,46,"moderate","easier",1
1,47,"moderate","easier",1
1,48,"moderate","easier",0
1,49,"moderate","easier",1
1,50,"moderate","easier",1
1,51,"moderate","easier",1
1,52,"moderate","easier",1
1,53,"moderate","easier",0
1,54,"moderate","easier",1
1,55,"moderate","easier",1
1,56,"moderate","easier",1
1,57,"moderate","easier",1
1,58,"moderate","easier",1
1,59,"moderate","easier",0
1,60,"moderate","easier",1
1,61,"moderate","easier",0
1,62,"moderate","easier",1
1,63,"moderate","easier",1
1,64,"moderate","easier",0
1,65,"moderate","easier",0
1,66,"moderate","easier",0
1,67,"moderate","easier",0
1,68,"moderate","easier",0
1,69,"moderate","easier",0
1,70,"moderate","easier",0
1,71,"moderate","easier",1
1,72,"moderate","easier",1
1,73,"moderate","easier",1
1,74,"moderate","easier",0
1,75,"moderate","easier",0
1,76,"moderate","easier",1
1,77,"moderate","easier",0
1,78,"moderate","easier",1
1,79,"moderate","easier",1
1,80,"moderate","easier",0
1,81,"moderate","easier",0
1,82,"moderate","easier",1
1,83,"moderate","easier",1
